caseId,currentMessage,context,historicalResponse,goldIntent
golden-011,@AmazonHelp Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you!,"CUSTOMER: @116089 Preordered with @115821. I haven't received my beta code. It states I'll have the beta code Oct 4. Haven't received it. Help me! | SUPPORT: @168346 I'm sorry you haven't received the code! Please contact us directly for assistance: https://t.co/hApLpMlfHN ^SB | CUSTOMER: @AmazonHelp I did. Have to wait 24 hours for a response, no guarantee of getting the beta code in that time span. Any further help would be appreciated. | CUSTOMER: @AmazonHelp I do appreciate the swift response via tweet. | CUSTOMER: @AmazonHelp I was sooooooo looking forward to playing after working a 14 hour shift today 😢 | SUPPORT: @168346 Please keep us posted and let us know if there's anything else we can do to help! ^SB | CUSTOMER: @AmazonHelp I got it! Just now!!!!!",@168346 You're welcome You're welcome You're welcome You're welcome You're welcome You're welcome You're welcome You're welcome! 😁 ^SB,OTHER / UNCLEAR
golden-012,"@118919 kindly check -original date of delivery, and then expected. and also don't miss the comment on top saying ' if it hasn't arrived by 10 Oct'","CUSTOMER: Our delivery network expansion into Meghalaya will ensure faster deliveries to customers in this state. #AmazonHaiTaiyyar #DeliveringSmiles https://t.co/Z3x110kTCS | CUSTOMER: @118919 Pls give discount on mac air 128gb im waiting from 5 days!! :( | SUPPORT: @185371 Pricing and offers are decision of the sellers. I'll be sure to pass your feedback internally. ^SG | CUSTOMER: @118919 #amazonunfair ...Amazon is charging Rs.250 delivery plus other , yet delivery date and item availability uncertain. Downfall ! | SUPPORT: @205461 Once the order is placed you'll be notified about the delivery date through email. Please check with the same. ^VR",@205461 We request you to wait till the end of day for the package to be delivered to you. ^VM,Delivery & Tracking
golden-013,@AmazonHelp @115851 Are you guys kidding me?? I have been following up continuously but not getting the solution.. https://t.co/igceoeyjvK,"CUSTOMER: @115850 @115851 Please stop cheating customers by delivering old products. Bought a new laptop this week whose warranty is valid only for 290 days instead of a year.. Order id 405-5462082-7360357.. NEED REFUND.. https://t.co/GMhc0vBJ69 | SUPPORT: @137099 Apologies for the trouble with the order received. Definitely not an intended experience for our customers. We'd like to help. Kindly report it to our support team here: https://t.co/vlvfJr4nN9 and we'll have this sorted. 1/2 ^KH | SUPPORT: @137099 Please don't share your order details as we consider it to be personal information. Our Twitter page is visible to public. 2/2 ^KH | CUSTOMER: @115850 @115851 Already reported but no solution.. | SUPPORT: @137099 We are working on it and we will get back to you soon. ^MD | CUSTOMER: @AmazonHelp Still awaiting for a resolution.. | SUPPORT: @137099 I'm afraid that we haven't received the mail yet. I request you to kindly fill in the details once again through the link provided to you earlier so that we can work on this right away, without any further delay. ^SC","@137099 Allow us to check this close and assist. Please share the required details, here: https://t.co/GIJyeYqKE0 and we'll get back with an update. ^YP",Item Problem
golden-014,"Just wanted to say, maybe stop worrying about grocery delivery and buying Whole Foods, and get back to just delivering packages on time. Third item dorked in two consecutive orders. Trying to give you guys 2nd chances, but I think I'm gonna be out @115821 @115851 https://t.co/RHjCU0C6Ig",,"@127727 I'm very sorry for the recent delivery issues. Without sharing personal or account details, will you let us know what information or options were we able to provide when you contacted us about this? ^CL",Delivery & Tracking
golden-015,@115850 have cheated &amp; delivered a duplicate product of @7166 which is different from the original product as displayed. https://t.co/MnarBn5yN0,,@129577 Sorry about this experience. Please report this to our team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK,Item Problem
golden-016,"If you order an item that turns out to be something other than what u wanted on @115850 &amp; want to return it, be prepared for a rude chat.",,@183040 I'm sorry for the unpleasant experience. We'd like to look into it closely to help you out. (1/2)^AP,Returns & Refunds
golden-017,@AmazonHelp Just now - yes. I sent a message. But shouldn't have to!!!,"CUSTOMER: @115830 waited in all day for delivery, guaranteed by 8pm. Just informed now could be up to 6 Nov. Tracked driver today, was within 100 yards from our house!!!! What went wrong!?! Need item asap, please resolve! | SUPPORT: @129378 I'm sorry for the wait! We'd like to look at this with you. Please call or chat with us here: https://t.co/JzP7hlA23B ^MH | CUSTOMER: @AmazonHelp Hi, spoke to alyssia yday evening who guaranteed it would arrive today. Am I able to track it? The usual tracking page is just as the attached image https://t.co/LJTVLYBxKm | SUPPORT: @129378 Did she email you after the call? What exactly was advised? ^PK | CUSTOMER: @AmazonHelp Yes she sent me an email which included the sentence ""Your parcel will go back out for delivery on the 2 November 2017"" (that was a direct copy and paste). So.... Can I track it please? | SUPPORT: @129378 We do not have access to the tracking info over Twitter. Please call or chat in using this link: https://t.co/JzP7hlA23B | CUSTOMER: @AmazonHelp Done. Still not arrived. Not expecting it to. How disappointing Amazon | SUPPORT: @129378 Hmm... Did you reach out to use to us using the link provided by the previous representative? ^MJ","@129378 For the quickest assistance, we recommend phone or chat. Please keep us posted; we'd like to know this is taken care of! ^KL",OTHER / UNCLEAR
golden-018,@AmazonHelp tampoco me deja hacer reclamación en web. A pesar de que el seguimiento sigue actualizándose no reconoce referencia envío 😒,"CUSTOMER: @137605 menuda falta de profesionalidad y rigor! No cumplen con sus entregas y es de chiste el seguimiento. https://t.co/yO0zjXwsTv | CUSTOMER: @137605 paquete que debía entregarse el lunes aún ""en reparto por incidencias logísticas""... @116928 no contéis con ellos más! | SUPPORT: @177165 Hola Reme. ¿Ya te has contactado con la compañía transportista?: https://t.co/yAVMfHCNXk    ^JJ | CUSTOMER: @AmazonHelp ustedes me han ayudado y reclamado pero ellos no responden. Tuve que hacer devolución sin recibir paquete, muy a mi pesar","@177165 Reme, por favor contacta nuevamente a nuestro Servicio de atención al cliente (https://t.co/OjvUxwnzPe) ^HC",Delivery & Tracking
golden-019,@AmazonHelp No this is my point why would Amazon automatically select a pay for delivery option after I purposely spent more on shopping to qualify for FREE delivery. I am seriously annoyed with Amazon for being this misleading,"CUSTOMER: just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830 | SUPPORT: @116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI | SUPPORT: @116586 Sorry to hear this. Did you select Free delivery at the checkout? ^PK",@116586 I do apologise Jacob. If you can reach out to us here: https://t.co/JzP7hlRCV9 We will be happy to look into this for you. ^PK,Payment & Charges
golden-020,@AmazonHelp Don't think that I am a jobless nug. Better get it sorted Acer or you may have to face consequences in the future.,"CUSTOMER: @115850 needs to find a better way to make money than looting the customer | SUPPORT: @158372 Not something we want you to experience. Kindly let us know, how can we make things better for you. ^CB | CUSTOMER: @AmazonHelp I'll not be able to provide my contact number in social media. Write a mail to me @ __email__. I will take it forward from there | SUPPORT: @158372 as we consider them to be personal information. Our Twitter page is visible to public. 3/3^SB | SUPPORT: @158372 https://t.co/vlvfJr4nN9? We will work on it.  Please don’t provide your account details 2/3^SB | SUPPORT: @158372 We will not have the access to your account details on social platform. Please reach out to our support team here: 1/3^SB | CUSTOMER: @AmazonHelp The link which you have provided makes no sense.","@158372 Kindly fill in your details here: https://t.co/beaaDm0muc, we'll get back to you soon. (2/2)^AP",OTHER / UNCLEAR
golden-021,@AmazonHelp to check the product status...refund was fired from your side.,,"@174664 We regret about the unpleasant experience. Kindly fill in your details here: https://t.co/GIJyeYqKE0, and I'll look into it. ^NR",Returns & Refunds
golden-022,@12393 help!! I am due to fly tomorrow (two day flight!) &amp; my kindle won't connect! am currently on the net with my phone 😭 https://t.co/NpEuX72LtA,,"@167991 We're happy to help, Louise! Let's take a look into this with you in real-time: https://t.co/hApLpMlfHN ^ML",Product & Digital Services
golden-023,@AmazonHelp @115821 pls see this issue and solve it as soon as possible....,"CUSTOMER: @115850 @AmazonHelp I have never performed this amazon prime member transaction .. Already complained in the customer service but no reply https://t.co/el9v6w9Jwq | SUPPORT: @183546 Looks like this charge is from https://t.co/nUUp5MLhYl, one of our partner website who works independently. (1/2 ) ^CB | CUSTOMER: @AmazonHelp Whoever it is it's amazon only....do check pls becoz my credit card details were there in amazon.in account | SUPPORT: @183546 You can report this to their support team directly here: https://t.co/O1IhqmoJ8o (2/2) ^CB",@183546 As informed earlier request you to contact us using the link provided earlier.^VH,OTHER / UNCLEAR
golden-024,"O pedido que fiz às 18h de ontem na @117086 já consta como enviado e com código de rastreio! Excelentes descontos e frete grátis! Isso é que é eficiência na Black Friday, viu?! 🤘🏻👏🏻👏🏻👏🏻👏🏻🙏🏻🙌🏻",,"@144616 Olá, Cacio! Conte para nós, o que você comprou no nosso site?. Ficamos curiosos. 🤔💚 ^NB",OTHER / UNCLEAR
golden-025,@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,CUSTOMER: Never buy large appliances from @115850 as they DO NOT provide installation service. #CustomerInconvenience #ApniDukan? #Fail | SUPPORT: @119536 Seems like you've had an unpleasant experience. Could you elaborate so that we could assist you accordingly? ^ST,"@119536 I'm sorry for the unpleasant experience, I'd like to look into this closely. Kindly drop in your details 1/2 ^AH",Product & Digital Services
golden-026,@AmazonHelp I have raised a complaint today evening 👍 any cash back offers for jio/airtel users on upgrading to Amazon prime account. ?,CUSTOMER: @115850  is 250 cashback on subscribing amazon prime through vodafone offer available or closed? Can u pls confirm? | CUSTOMER: @158273 @115850 Naa Amazon cash back coupon code raledu mee company nundi 😠 | SUPPORT: @158272 Could you please tell me which cash back you are referring to so that I can check it ? ^AU,"@158272 Unfortunately, we do not support Airtel mobile recharge. However, for the (1/2)^SQ",Prime & Subscription
golden-027,@AmazonHelp Thank you for your tweet! I’ve contacted customer service &amp; they’re sending directions to the courier. I wish there was a way to include directions when we order. #wishlist,"CUSTOMER: Really #annoyed w @115830!! Need @AmazonHelp bcuz 2nd delivery attempt failed (again). Live in new housing area &amp; postcode sends driver 2wrong area. Need my delivery today!!! Why can’t they call me 4 directions?! | SUPPORT: @154233 I'm sorry your order had another failed delivery attempt, Shelly! We'd like to take a look into this and available options with you. When you're available, please get in touch with us here: https://t.co/JzP7hlA23B ^TH","@154233 Glad to hear that you've managed to get everything sorted, Shelly. Let me know if you have any other issues!^TI",Delivery & Tracking
golden-028,@115821 order October 4th.  3- 7 delivery time frame. It’s expected here October 14th by 8pm. That’s 7 business days and a sat delivery.,,@182544 Hi Travis. Was the item sold via Amazon or a seller directly? What delivery option did you choose? ^TP,Delivery & Tracking
golden-029,"Order No: 171-3705259-1179509

I have received stone in my delivery box instead of the product which I ordered and amazon specialist team said go to hell after committing me the refund today. @115850 @115851 @AmazonHelp https://t.co/KFdsbH6nAg",,"@133015 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^HS",Item Problem
golden-030,@165806 @115850 @121294 Mine screen broken but not replaced in last 40 days nobody bother to address the issue,"CUSTOMER: @115850 @121294 bought #LGQ6, it gets heats up like a boiler, Amazon CS not ready to help....order ID 408-2934367-9365911 | SUPPORT: @165806 I'm sorry the device is heating. Please contact the manufacturer for assistance. ^HA | CUSTOMER: @AmazonHelp I want refund as the device is heating since the day I have rcd it @121294 #lgq6 | SUPPORT: @165806 Puneet, we have a 10-day return policy for mobile phones, post which you'll need to reach out to the manufacturer. ^MS | CUSTOMER: @AmazonHelp @121294 I called ur CS next day but I ws informed that you don't hv return... #Lgq6 #badquality #worstservice",@219448 I'm sorry about this experience. Have you reported it to our support team here: https://t.co/2t6DQoUmNZ? ^GD,Item Problem
golden-031,@AmazonHelp Me han enviado un email esta mañana diciendo que entregarían el paquete de 13:00 a 14:00 (entiendo que pueda haber un poco de retraso) pero son casi las 16:00 y aún no han venido y no es la primera vez que pasa esto y al final siempre vienen a las 20:30 h. o así...,"CUSTOMER: @AmazonHelp Hola, me gustaría saber dónde puedo poner una queja para la empresa de transporte, siempre que me enviáis pedidos con Seur tengo problemas. Estoy esperando un pedido y me parece que voy a perder toda la tarde por estar pendiente porque no cumplen el horario que dicen | SUPPORT: @149452 ¡Hola! Lamentamos este inconveniente. ¿Podrías explicarnos un poco más el problema que estás teniendo? ^ES","@149452 Gracias por la información. En este caso para obtener más detalles de la entrega, ¿ya has contactado con el transportista? En el siguiente enlace puedes ver las formas de contacto: https://t.co/UklCXxEm8y. ^MZ",Delivery & Tracking
